Summary

Total Wins:  [10877, 16180, 15845, 16433, 14703, 16483, 15822, 16523, 15968, 15527, 13891, 16364, 15852, 15370, 15888, 16616, 16557, 15713, 15452, 15631, 16375, 14000, 15232, 15842, 16304, 15893, 16519, 14943, 16247, 15923, 16225, 10802]
Worst Competitor:  [16, 16, 1, 1, 2, 2, 3, 3, 20, 20, 5, 5, 22, 6, 7, 7, 24, 24, 25, 9, 26, 26, 11, 11, 28, 28, 29, 29, 30, 30, 15, 15]
Wins vs. Worst:  [33, 61, 303, 328, 333, 350, 332, 337, 318, 286, 232, 257, 339, 286, 312, 329, 324, 339, 305, 314, 244, 250, 287, 274, 334, 330, 327, 322, 292, 337, 64, 24]

Matchups

['0', '0', '0', '0', '0']  vs.  ['0', '0', '0', '0', '1']  Result:  514 - 486 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '0', '0', '1', '0']  Result:  403 - 597 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '0', '0', '1', '1']  Result:  418 - 582 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '0', '1', '0', '0']  Result:  369 - 631 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '0', '1', '0', '1']  Result:  343 - 657 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '0', '1', '1', '0']  Result:  395 - 605 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '0', '1', '1', '1']  Result:  351 - 649 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '0', '0', '0']  Result:  257 - 743 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '0', '0', '1']  Result:  370 - 630 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '0', '1', '0']  Result:  410 - 590 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '0', '1', '1']  Result:  374 - 626 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '1', '0', '0']  Result:  332 - 668 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '1', '0', '1']  Result:  394 - 606 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '1', '1', '0']  Result:  339 - 661 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '1', '1', '1']  Result:  354 - 646 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '0', '0', '0']  Result:  33 - 967 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '0', '0', '1']  Result:  365 - 635 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '0', '1', '0']  Result:  373 - 627 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '0', '1', '1']  Result:  354 - 646 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '1', '0', '0']  Result:  312 - 688 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '1', '0', '1']  Result:  386 - 614 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '1', '1', '0']  Result:  372 - 628 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '1', '1', '1']  Result:  368 - 632 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '0', '0', '0']  Result:  202 - 798 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '0', '0', '1']  Result:  343 - 657 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '0', '1', '0']  Result:  327 - 673 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '0', '1', '1']  Result:  370 - 630 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '1', '0', '0']  Result:  278 - 722 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '1', '0', '1']  Result:  360 - 640 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '1', '1', '0']  Result:  318 - 682 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '1', '1', '1']  Result:  493 - 507 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '0', '0', '1', '0']  Result:  697 - 303 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '0', '0', '1', '1']  Result:  672 - 328 - 0
