Summary

Total Wins:  [107988, 162212, 158256, 163513, 148344, 164440, 158836, 164882, 158724, 153179, 139874, 164203, 158361, 153440, 158134, 166728, 165760, 158441, 153692, 158263, 163938, 139995, 153317, 158933, 164092, 157776, 163866, 148047, 163549, 158157, 162796, 108264]
Worst Competitor:  [16, 16, 1, 1, 2, 2, 3, 3, 20, 20, 5, 5, 22, 6, 7, 7, 24, 24, 25, 9, 26, 26, 11, 11, 28, 28, 29, 29, 30, 30, 15, 15]
Wins vs. Worst:  [329, 643, 3286, 3330, 3427, 3286, 3387, 3389, 2913, 2892, 2353, 2648, 3542, 3042, 3325, 3328, 3365, 3319, 3134, 3451, 2730, 2260, 2986, 2863, 3303, 3340, 3322, 3394, 3302, 3327, 640, 292]

Matchups

['0', '0', '0', '0', '0']  vs.  ['0', '0', '0', '0', '1']  Result:  5085 - 4915 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '0', '0', '1', '0']  Result:  4138 - 5862 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '0', '0', '1', '1']  Result:  4003 - 5997 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '0', '1', '0', '0']  Result:  3728 - 6272 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '0', '1', '0', '1']  Result:  3609 - 6391 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '0', '1', '1', '0']  Result:  3608 - 6392 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '0', '1', '1', '1']  Result:  3670 - 6330 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '0', '0', '0']  Result:  2557 - 7443 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '0', '0', '1']  Result:  3853 - 6147 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '0', '1', '0']  Result:  4018 - 5982 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '0', '1', '1']  Result:  3384 - 6616 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '1', '0', '0']  Result:  3145 - 6855 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '1', '0', '1']  Result:  3765 - 6235 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '1', '1', '0']  Result:  3471 - 6529 - 0
['0', '0', '0', '0', '0']  vs.  ['0', '1', '1', '1', '1']  Result:  3525 - 6475 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '0', '0', '0']  Result:  329 - 9671 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '0', '0', '1']  Result:  3475 - 6525 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '0', '1', '0']  Result:  3555 - 6445 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '0', '1', '1']  Result:  3518 - 6482 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '1', '0', '0']  Result:  2981 - 7019 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '1', '0', '1']  Result:  4015 - 5985 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '1', '1', '0']  Result:  3485 - 6515 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '0', '1', '1', '1']  Result:  3589 - 6411 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '0', '0', '0']  Result:  2200 - 7800 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '0', '0', '1']  Result:  3522 - 6478 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '0', '1', '0']  Result:  3260 - 6740 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '0', '1', '1']  Result:  3834 - 6166 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '1', '0', '0']  Result:  2925 - 7075 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '1', '0', '1']  Result:  3492 - 6508 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '1', '1', '0']  Result:  3311 - 6689 - 0
['0', '0', '0', '0', '0']  vs.  ['1', '1', '1', '1', '1']  Result:  4938 - 5062 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '0', '0', '1', '0']  Result:  6714 - 3286 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '0', '0', '1', '1']  Result:  6670 - 3330 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '0', '1', '0', '0']  Result:  5698 - 4302 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '0', '1', '0', '1']  Result:  5510 - 4490 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '0', '1', '1', '0']  Result:  5677 - 4323 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '0', '1', '1', '1']  Result:  5639 - 4361 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '1', '0', '0', '0']  Result:  4067 - 5933 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '1', '0', '0', '1']  Result:  5626 - 4374 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '1', '0', '1', '0']  Result:  5861 - 4139 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '1', '0', '1', '1']  Result:  5386 - 4614 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '1', '1', '0', '0']  Result:  5049 - 4951 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '1', '1', '0', '1']  Result:  5687 - 4313 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '1', '1', '1', '0']  Result:  5349 - 4651 - 0
['0', '0', '0', '0', '1']  vs.  ['0', '1', '1', '1', '1']  Result:  5316 - 4684 - 0
['0', '0', '0', '0', '1']  vs.  ['1', '0', '0', '0', '0']  Result:  643 - 9357 - 0
['0', '0', '0', '0', '1']  vs.  ['1', '0', '0', '0', '1']  Result:  5334 - 4666 - 0
['0', '0', '0', '0', '1']  vs.  ['1', '0', '0', '1', '0']  Result:  5251 - 4749 - 0
